pedido_id,codigo,descricao,quantidade,valor_unitario,total_item
25169601968,TAT-100x100-20-RS,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Rosa,3,70,210
25169601968,TAT-100x100-20-LJ,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Laranja,2,70,140
25169601968,TAT-100x100-20-VDES,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Verde Bandeira,2,70,140
25169601968,TAT-100x100-20-VR,Monte seu Kit - Tatame EVA 100x100cm 20mm Cor:Vermelho,2,70,140
25167395328,FLUT-100x100-30MM-LL,"Tapete Flutuante EVA 100x100cm – 30mm | Piscina, Lazer e Atividades Aquáticas Cor:Lilás",1,139.9,139.9
25158284900,CART-MAPA-BR-8MM,Cartela EVA - Mapa do Brasil,1,5,5
25158284900,TE-AMA-30X30-8MM-12P,Tapete EVA Amarelinha Infantil 30x30cm – 8mm (12 Peças),1,69,69
25158284900,EVA-TAB-SOM,Cartela EVA  - Tabuada de Somar,1,5,5
25158284900,EVA-ANI-30X30-8MM-09P,Tapete EVA Animais Infantil 30x30cm – 8mm (9 Peças),1,49,49
25158284900,TAT-50x50-20-AMBB,Monte seu Kit - Tatame EVA 50x50cm 20mm Cor:Amarelo BB,5,22,110
25158284900,TAT-50x50-20-RS,Monte seu Kit - Tatame EVA 50x50cm 20mm Cor:Rosa,5,22,110
25158284900,TAT-50x50-20-AZRY,Monte seu Kit - Tatame EVA 50x50cm 20mm Cor:Azul,5,22,110
25158284900,TAT-50x50-20-VRB,Monte seu Kit - Tatame EVA 50x50cm 20mm Cor:Verde Bandeira,5,22,110
25157510211,EVA-ANI-30X30-8MM-09P,Tapete EVA Animais Infantil 30x30cm – 8mm (9 Peças),1,49,49
25157499711,TAT-50x50-15-AZBB,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Azul BB,3,17,51
25157499711,TAT-50x50-15-AZCI,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Azul Ciano,3,17,51
